#;NAME;PSRJ;PMRA;PMDEC;PX;POSEPOCH;Gl;Gb;RAJD;DECJD;P0;P1;DM;W50;W10;TAU_SC;S400;S1400;S2000;DIST;DIST_DM;ZZ;XX;YY;ASSOC;SURVEY;PSR;
;;;(mas/yr);(mas/yr);(mas);(MJD);(deg);(deg);(deg);(deg);(s);;(cm^-3pc);(ms);(ms);(s);(mJy);(mJy);(mJy);(kpc);(kpc);(kpc);(kpc);(kpc);;;TYPE;
2278;J1852+1200;J1852+1200;NAN;NAN;NAN;60127.00;43.813;5.106;283.24166667;12.00000000;0.003866;NAN;68.05;NAN;NAN;NAN;NAN;NAN;NAN;2.362;2.362;0.210;1.629;6.802;NAN;misc;NAN;
2279;J1852-0000;J1852-0000;NAN;NAN;NAN;59403.00;33.066;-0.277;283.16729167;-0.00730556;1.920686;2.52e-13;593.10;27.000;NAN;NAN;NAN;0.12;NAN;5.776;5.776;-0.028;3.151;3.660;NAN;palfa,fast_gpps;NAN;
2280;J1852-0002g;J1852-0002g;NAN;NAN;NAN;NAN;32.985;-0.177;283.04166667;-0.03333333;0.245100;NAN;558.10;NAN;NAN;NAN;NAN;0.04;NAN;5.591;5.591;-0.017;3.044;3.810;NAN;fast_gpps;NAN;
2281;J1852-0024g;J1852-0024g;NAN;NAN;NAN;59438.00;32.662;-0.362;283.05887333;-0.40490833;0.355429;1.65e-16;292.00;6.500;14.000;NAN;NAN;0.06;NAN;4.524;4.524;-0.029;2.442;4.691;NAN;fast_gpps;NAN;
2282;J1852-0033g;J1852-0033g;NAN;NAN;NAN;59676.00;32.547;-0.479;283.11052500;-0.56103056;1.369012;7.92e-15;321.60;NAN;NAN;NAN;NAN;0.02;NAN;4.731;4.731;-0.040;2.545;4.512;NAN;fast_gpps;NAN;
2283;J1852-0039g;J1852-0039g;NAN;NAN;NAN;59676.00;32.431;-0.476;283.05497917;-0.66244444;0.802905;3.78e-16;354.00;NAN;NAN;NAN;NAN;0.08;NAN;4.883;4.883;-0.041;2.619;4.379;NAN;fast_gpps;NAN;
2284;J1852-0044g;J1852-0044g;NAN;NAN;NAN;NAN;32.395;-0.560;283.11250000;-0.73333333;0.002410;NAN;272.90;NAN;NAN;NAN;NAN;0.56;NAN;4.492;4.492;-0.044;2.406;4.707;NAN;fast_gpps;NAN;
2285;J1852-0055g;J1852-0055g;NAN;NAN;NAN;NAN;32.224;-0.628;283.09583333;-0.91666667;0.164030;NAN;211.30;29.000;NAN;NAN;NAN;0.05;NAN;4.095;4.095;-0.045;2.183;5.036;NAN;fast_gpps;NAN;
2286;J1852-0118;J1852-0118;NAN;NAN;NAN;52611.00;31.868;-0.783;283.07145833;-1.30411111;0.451473;1.76e-15;286.40;142.000;154.900;NAN;NAN;0.35;NAN;4.729;4.729;-0.065;2.496;4.484;NAN;pksmb,fast_gpps;NAN;
2287;J1852-0127;J1852-0127;NAN;NAN;NAN;52608.00;31.706;-0.802;283.01500000;-1.45650000;0.428979;5.15e-15;427.90;24.000;82.000;0.06;NAN;0.58;NAN;5.693;5.693;-0.080;2.992;3.657;NAN;pksmb;NAN;
2288;J1852-0635;J1852-0635;NAN;NAN;NAN;57600.00;27.224;-3.341;283.23936667;-6.60012500;0.524157;1.46e-14;173.90;82.000;113.000;0.00;NAN;9.50;NAN;4.577;4.577;-0.267;2.090;4.437;NAN;pksmb,htru_pks;NAN;
2289;J1852-0947;J1852-0947;NAN;NAN;NAN;59328.00;24.265;-4.580;283.00920833;-9.79305556;3.019694;9.83e-15;239.30;NAN;NAN;NAN;NAN;0.02;NAN;13.545;13.545;-1.082;5.549;-3.809;NAN;fast_crafts;NAN;
2290;J1852-1310;J1852-1310;-1.800;-6.600;NAN;57819.17;21.267;-6.154;283.08000000;-13.16694444;0.004315;1.02e-20;44.96;NAN;NAN;NAN;NAN;NAN;NAN;1.266;1.266;-0.136;0.457;7.327;GRS:4FGL_J1852.2-1309[aab+22];FermiAssoc;HE[saa+23];
2291;J1852-2610;J1852-2610;NAN;NAN;NAN;50866.00;9.458;-11.918;283.24778276;-26.17019521;0.336337;8.77e-17;56.81;7.900;28.000;NAN;12.00;1.40;NAN;2.460;2.460;-0.508;0.396;6.126;NAN;pks70,htru_pks,pkssw;NAN;
2292;J1853+0009;J1853+0009;NAN;NAN;NAN;58939.97;33.303;-0.431;283.41250000;0.13333333;0.033395;NAN;192.40;12.600;29.300;NAN;NAN;NAN;NAN;3.937;3.937;-0.030;2.162;5.210;NAN;palfa,fast_gpps;NAN;
2293;J1853+0011;J1853+0011;NAN;NAN;NAN;55163.00;33.338;-0.371;283.37491667;0.19183333;0.397889;3.35e-14;568.80;12.000;20.700;NAN;NAN;0.20;NAN;5.815;5.815;-0.038;3.196;3.642;NAN;pksmb;NAN;
2294;J1853+0013g;J1853+0013g;NAN;NAN;NAN;59490.00;33.421;-0.434;283.46875833;0.23688889;0.928596;1.14e-15;309.60;NAN;NAN;NAN;NAN;0.04;NAN;4.715;4.715;-0.036;2.597;4.565;NAN;fast_gpps;NAN;
2295;J1853+0023g;J1853+0023g;NAN;NAN;NAN;59228.00;33.444;-0.213;283.28228333;0.35866667;0.576939;6.50e-17;206.60;13.400;NAN;NAN;NAN;0.02;NAN;4.015;4.015;-0.015;2.213;5.150;NAN;fast_gpps;NAN;
2296;J1853+0029;J1853+0029;NAN;NAN;NAN;59013.00;33.579;-0.190;283.32409583;0.48947222;1.876758;2.43e-15;226.70;13.200;16.900;NAN;NAN;0.07;NAN;4.163;4.163;-0.014;2.303;5.032;NAN;palfa,fast_gpps;NAN;
2297;J1853+0056;J1853+0056;NAN;NAN;NAN;51665.00;34.017;-0.036;283.38608333;0.94972222;0.275578;2.14e-14;180.90;15.900;29.100;NAN;NAN;0.21;NAN;3.841;3.841;-0.002;2.149;5.316;NAN;pksmb,palfa,fast_gpps;NAN;
2298;J1853+0209g;J1853+0209g;NAN;NAN;NAN;NAN;35.037;0.607;283.27916667;2.15000000;NAN;NAN;350.00;NAN;NAN;NAN;NAN;NAN;NAN;5.528;5.528;0.059;3.173;3.974;NAN;fast_gpps;RRAT[zhx+23];
2299;J1853+0237g;J1853+0237g;NAN;NAN;NAN;NAN;35.547;0.634;283.48750000;2.61666667;0.427390;NAN;725.50;NAN;NAN;NAN;NAN;0.04;NAN;9.979;9.979;0.110;5.801;0.381;NAN;fast_gpps;NAN;
2300;J1853+0259;J1853+0259;NAN;NAN;NAN;57093.00;35.806;0.963;283.31241250;2.99663889;0.585553;1.12e-16;290.20;39.900;NAN;NAN;NAN;0.22;NAN;5.797;5.797;0.097;3.391;3.799;NAN;palfa,fast_gpps;NAN;
2301;J1853+0312g;J1853+0312g;NAN;NAN;NAN;NAN;35.987;1.056;283.31250000;3.20000000;0.438090;NAN;342.00;4.900;NAN;NAN;NAN;0.01;NAN;6.607;6.607;0.122;3.882;3.155;NAN;fast_gpps;NAN;
2302;J1853+0353g;J1853+0353g;NAN;NAN;NAN;NAN;36.622;1.315;283.37083333;3.88333333;NAN;NAN;379.00;NAN;NAN;NAN;NAN;NAN;NAN;9.186;9.186;0.211;5.478;1.129;NAN;fast_gpps;RRAT[zhx+23];
2303;J1853+0427;J1853+0427;NAN;NAN;NAN;57890.00;37.170;1.512;283.44586250;4.46144444;1.320659;2.65e-15;550.10;2.300;23.900;NAN;NAN;0.10;NAN;15.732;15.732;0.415;9.502;-4.032;NAN;palfa,fast_gpps;NAN;
2304;J1853+0505;J1853+0505;NAN;NAN;NAN;53982.00;37.650;1.956;283.26816667;5.09058333;0.905137;1.28e-15;260.00;47.500;136.500;0.25;NAN;1.10;NAN;8.370;8.370;0.286;5.110;1.877;NAN;pksmb,fast_gpps;NAN;
2305;J1853+0545;J1853+0545;NAN;NAN;NAN;53882.00;38.354;2.064;283.49337917;5.76535000;0.126400;6.12e-16;198.70;30.300;75.800;0.02;NAN;2.70;NAN;6.545;6.545;0.236;4.059;3.371;NAN;pksmb,palfa,fast_gpps;NAN;
2306;J1853+0853;J1853+0853;NAN;NAN;NAN;53097.00;41.071;3.615;283.34195833;8.88805556;3.914658;5.13e-15;235.60;4.000;7.000;NAN;NAN;0.11;NAN;14.400;14.400;0.908;9.442;-2.334;NAN;pksmb,fast_gpps;NAN;
2307;J1853-0003g;J1853-0003g;NAN;NAN;NAN;NAN;33.111;-0.459;283.35000000;-0.05000000;0.171520;NAN;667.20;NAN;NAN;NAN;NAN;0.01;NAN;6.314;6.314;-0.051;3.449;3.211;NAN;fast_gpps;NAN;
2308;J1853-0004;J1853-0004;NAN;NAN;NAN;55446.00;33.086;-0.468;283.34594583;-0.07594444;0.101437;5.57e-15;437.50;7.700;50.000;NAN;NAN;0.70;NAN;5.339;5.339;-0.044;2.914;4.027;GRS:4FGL_J1853.3-0005[aab+22];pksmb,FermiAssoc,fast_gpps;HE[sbc+19];
2309;J1853-0008g;J1853-0008g;NAN;NAN;NAN;NAN;33.014;-0.453;283.30000000;-0.13333333;0.002820;NAN;285.30;NAN;NAN;NAN;NAN;0.01;NAN;4.554;4.554;-0.036;2.481;4.681;NAN;fast_gpps;NAN;
2310;J1853-0130g;J1853-0130g;NAN;NAN;NAN;NAN;31.788;-1.057;283.27916667;-1.50000000;1.945000;NAN;344.00;NAN;NAN;NAN;NAN;NAN;NAN;5.576;5.576;-0.103;2.937;3.761;NAN;fast_gpps;RRAT[zhx+23];
2311;J1853-0649;J1853-0649;NAN;NAN;NAN;55170.00;27.077;-3.545;283.35592500;-6.82386111;1.048132;1.55e-15;44.54;16.000;NAN;NAN;NAN;NAN;NAN;1.285;1.285;-0.079;0.584;7.358;NAN;gbt350;NAN;
2312;J1854+0012g;J1854+0012g;NAN;NAN;NAN;NAN;33.436;-0.546;283.57500000;0.20000000;0.002710;NAN;204.10;NAN;NAN;NAN;NAN;0.01;NAN;4.077;4.077;-0.039;2.246;5.098;NAN;fast_gpps;NAN;
2313;J1854+0050;J1854+0050;NAN;NAN;NAN;56854.00;34.053;-0.349;283.68112500;0.83827778;0.767280;5.78e-16;525.00;7.400;23.800;NAN;NAN;0.05;NAN;5.720;5.720;-0.035;3.203;3.761;NAN;palfa,fast_gpps;NAN;
2314;J1854+0131g;J1854+0131g;NAN;NAN;NAN;NAN;34.638;-0.004;283.64166667;1.51666667;2.043850;NAN;474.90;NAN;NAN;NAN;NAN;0.31;NAN;5.484;5.484;-0.000;3.117;3.988;NAN;fast_gpps;NAN;
2315;J1854+0306;J1854+0306;NAN;NAN;NAN;54944.00;35.992;0.834;283.51241667;3.10388889;4.557820;1.45e-13;192.40;1.800;6.000;NAN;NAN;NAN;NAN;4.499;4.499;0.066;2.644;4.860;NAN;pksmb,fast_gpps;RRAT;
2316;J1854+0317;J1854+0317;NAN;NAN;NAN;54863.50;36.209;0.824;283.62108333;3.29194444;1.366450;1.85e-15;390.00;7.700;12.300;NAN;NAN;0.12;NAN;6.892;6.892;0.099;4.071;2.940;NAN;pksmb,palfa,fast_gpps;NAN;
2317;J1854+0319;J1854+0319;NAN;NAN;NAN;56700.00;36.179;0.944;283.50045833;3.32022222;0.628541;5.51e-17;480.20;7.600;31.900;NAN;NAN;0.17;NAN;9.524;9.524;0.157;5.621;0.814;NAN;palfa,fast_gpps;NAN;
2318;J1854+0704g;J1854+0704g;NAN;NAN;NAN;NAN;39.575;2.535;283.62916667;7.06666667;0.450900;NAN;10.50;14.000;NAN;NAN;NAN;0.04;NAN;0.635;0.635;0.028;0.404;8.011;NAN;fast_gpps;NAN;
2319;B1852+10;J1854+1050;NAN;NAN;NAN;49692.00;42.887;4.223;283.62222987;10.77836880;0.573197;6.39e-16;207.20;48.100;154.500;0.00;11.00;1.03;NAN;13.824;13.824;1.018;9.382;-1.601;NAN;ar2,ar3,ar327,ar4,pksmb,fast_gpps;NAN;
2320;J1854+36;J1854+36;NAN;NAN;NAN;NAN;66.026;15.068;283.50000000;36.00000000;1.300220;NAN;59.80;36.800;81.300;NAN;NAN;NAN;NAN;6.387;6.387;1.660;5.635;5.994;NAN;ar327,gbncc;NAN;
2321;J1854+40;J1854+40;NAN;NAN;NAN;NAN;69.953;16.618;283.50000000;40.08333333;1.748000;NAN;37.00;NAN;NAN;NAN;NAN;NAN;NAN;3.216;3.216;0.920;2.895;7.444;NAN;pumps;NAN;
2322;J1854-0033g;J1854-0033g;NAN;NAN;NAN;NAN;32.791;-0.932;283.62500000;-0.55000000;0.361470;NAN;615.90;14.000;NAN;NAN;NAN;0.02;NAN;8.234;8.234;-0.134;4.459;1.579;NAN;fast_gpps;NAN;
2323;J1854-0036;J1854-0036;NAN;NAN;NAN;59288.00;32.750;-0.980;283.64896667;-0.60905556;0.716856;2.26e-15;492.80;9.200;25.100;NAN;NAN;0.06;NAN;6.980;6.980;-0.119;3.775;2.630;NAN;fast_crafts,fast_gpps;NAN;
2324;J1854-0524;J1854-0524;NAN;NAN;NAN;57737.00;28.511;-3.235;283.73062500;-5.40641667;0.544021;1.20e-15;192.00;12.600;23.300;NAN;NAN;NAN;NAN;5.014;5.014;-0.283;2.390;4.101;NAN;htru_pks;NAN;
2325;B1851-14;J1854-1421;NAN;NAN;NAN;49909.00;20.456;-7.209;283.68455276;-14.35734023;1.146595;4.16e-15;130.40;21.000;47.000;0.00;8.00;NAN;NAN;6.917;6.917;-0.868;2.398;2.070;NAN;mol2,htru_pks,pks70,pkssw;NAN;
2326;J1854-1557;J1854-1557;NAN;NAN;NAN;55124.00;19.018;-7.950;283.72333333;-15.96305556;3.453121;4.52e-15;150.00;65.000;NAN;NAN;NAN;NAN;NAN;10.895;10.895;-1.507;3.516;-1.701;NAN;htru_pks;RRAT;
2327;J1855+0033g;J1855+0033g;NAN;NAN;NAN;NAN;33.833;-0.553;283.76250000;0.55000000;NAN;NAN;554.00;NAN;NAN;NAN;NAN;NAN;NAN;6.136;6.136;-0.059;3.416;3.403;NAN;fast_gpps;RRAT[zhx+23];
2328;J1855+0139g;J1855+0139g;NAN;NAN;NAN;NAN;34.833;-0.092;283.80833333;1.65000000;0.444140;NAN;405.50;21.000;NAN;NAN;NAN;0.04;NAN;5.209;5.209;-0.008;2.975;4.224;NAN;fast_gpps;NAN;
2329;J1855+0205;J1855+0205;NAN;NAN;NAN;54510.00;35.281;0.007;283.92519167;2.09344444;0.246817;6.47e-17;867.30;7.600;NAN;NAN;NAN;0.19;NAN;7.042;7.042;0.001;4.067;2.751;NAN;palfa;NAN;
2330;J1855+0228g;J1855+0228g;NAN;NAN;NAN;NAN;35.619;0.166;283.93750000;2.46666667;0.253170;NAN;530.00;NAN;NAN;NAN;NAN;0.04;NAN;5.945;5.945;0.017;3.462;3.667;NAN;fast_gpps;NAN;
2331;J1855+0235g;J1855+0235g;NAN;NAN;NAN;59447.00;35.735;0.191;283.96822500;2.58210556;0.983030;2.15e-17;104.10;3.200;7.000;NAN;NAN;0.01;NAN;2.989;2.989;0.010;1.746;6.074;NAN;fast_gpps;NAN;
2332;J1855+0240g;J1855+0240g;NAN;NAN;NAN;NAN;35.736;0.376;283.80416667;2.66666667;1.224000;NAN;397.00;NAN;NAN;NAN;NAN;NAN;NAN;5.552;5.552;0.036;3.243;3.993;NAN;fast_gpps;RRAT[zhx+23];
2333;J1855+0306;J1855+0306;NAN;NAN;NAN;57548.00;36.175;0.483;283.90958333;3.10630556;1.633566;7.00e-15;634.00;6.900;NAN;NAN;NAN;0.04;NAN;7.477;7.477;0.063;4.413;2.465;NAN;palfa,fast_gpps;NAN;
2334;J1855+0307;J1855+0307;NAN;NAN;NAN;52632.00;36.167;0.533;283.86095833;3.12227778;0.845348;1.81e-14;402.50;6.000;26.000;NAN;NAN;0.97;NAN;5.940;5.940;0.055;3.505;3.705;NAN;pksmb,palfa,fast_gpps;NAN;
2335;J1855+0327g;J1855+0327g;NAN;NAN;NAN;NAN;36.494;0.615;283.93750000;3.45000000;0.782820;NAN;298.60;NAN;NAN;NAN;NAN;0.01;NAN;5.340;5.340;0.057;3.176;4.207;NAN;fast_gpps;NAN;
2336;J1855+0339g;J1855+0339g;NAN;NAN;NAN;NAN;36.666;0.717;283.92500000;3.65000000;1.761340;NAN;416.20;NAN;NAN;NAN;NAN;0.01;NAN;6.861;6.861;0.086;4.097;2.997;NAN;fast_gpps;NAN;
2337;J1855+0422;J1855+0422;NAN;NAN;NAN;51446.00;37.314;1.052;283.92237500;4.37972222;1.678106;9.29e-16;455.60;42.700;NAN;0.03;NAN;0.45;NAN;10.949;10.949;0.201;6.636;-0.207;NAN;pksmb,palfa,fast_gpps;NAN;
2338;J1855+0424g;J1855+0424g;NAN;NAN;NAN;NAN;37.254;1.214;283.75000000;4.40000000;2.220250;NAN;678.50;NAN;NAN;NAN;NAN;0.01;NAN;17.395;17.395;0.369;10.528;-5.343;NAN;fast_gpps;NAN;
2339;J1855+0455g;J1855+0455g;NAN;NAN;NAN;NAN;37.742;1.394;283.81250000;4.91666667;0.101010;NAN;372.90;NAN;NAN;NAN;NAN;0.04;NAN;10.252;10.252;0.249;6.274;0.395;NAN;fast_gpps;NAN;
2340;J1855+0511g;J1855+0511g;NAN;NAN;NAN;NAN;37.974;1.527;283.80000000;5.18333333;1.421470;NAN;292.10;25.000;NAN;NAN;NAN;0.03;NAN;8.770;8.770;0.234;5.394;1.589;NAN;fast_gpps;NAN;
2341;J1855+0527;J1855+0527;NAN;NAN;NAN;54248.10;38.227;1.642;283.81280417;5.46130556;1.393484;2.67e-13;358.80;11.300;33.800;NAN;NAN;0.24;NAN;11.642;11.642;0.334;7.201;-0.642;NAN;pksmb,fast_gpps;NAN;
2342;J1855+0626;J1855+0626;NAN;NAN;NAN;58375.00;39.125;2.055;283.85416667;6.44805556;0.528832;NAN;253.80;10.000;NAN;NAN;NAN;0.13;NAN;9.343;9.343;0.335;5.892;1.257;NAN;palfa;NAN;
2343;J1855+0700;J1855+0700;NAN;NAN;NAN;51991.00;39.613;2.337;283.82383333;7.01030556;0.258685;7.52e-16;247.20;6.000;10.300;NAN;NAN;0.10;NAN;10.596;10.596;0.432;6.750;0.344;NAN;pksmb,fast_gpps;NAN;
2344;J1855-0054g;J1855-0054g;NAN;NAN;NAN;NAN;32.577;-1.281;283.83750000;-0.90000000;NAN;NAN;577.00;NAN;NAN;NAN;NAN;NAN;NAN;9.059;9.059;-0.202;4.876;0.868;NAN;fast_gpps;RRAT[zhx+23];
2345;J1855-0154g;J1855-0154g;NAN;NAN;NAN;NAN;31.664;-1.692;283.78750000;-1.90000000;NAN;NAN;417.00;NAN;NAN;NAN;NAN;NAN;NAN;7.341;7.341;-0.217;3.852;2.254;NAN;fast_gpps;RRAT[zhx+23];
2346;J1855-0211g;J1855-0211g;NAN;NAN;NAN;NAN;31.455;-1.906;283.88333333;-2.18333333;NAN;NAN;304.00;NAN;NAN;NAN;NAN;NAN;NAN;5.928;5.928;-0.197;3.092;3.446;NAN;fast_gpps;RRAT[zhx+23];
2347;J1855-0941;J1855-0941;NAN;NAN;NAN;51500.00;24.722;-5.241;283.81533333;-9.68388889;0.345401;2.40e-16;153.60;23.000;45.000;NAN;NAN;0.90;NAN;6.255;6.255;-0.571;2.605;2.842;NAN;pkssw,gbncc,htru_pks,pksmb;NAN;
2348;J1856+0011g;J1856+0011g;NAN;NAN;NAN;NAN;33.706;-1.109;284.20000000;0.18333333;0.928470;NAN;454.20;3.200;NAN;NAN;NAN;0.01;NAN;6.921;6.921;-0.134;3.840;2.744;NAN;fast_gpps;NAN;
2349;J1856+0029g;J1856+0029g;NAN;NAN;NAN;NAN;33.975;-0.976;284.20416667;0.48333333;0.376000;NAN;234.00;NAN;NAN;NAN;NAN;NAN;NAN;4.727;4.727;-0.081;2.641;4.581;NAN;fast_gpps;RRAT[zhx+23];
2350;J1856+0102;J1856+0102;NAN;NAN;NAN;52568.00;34.428;-0.648;284.11876250;1.03627778;0.620217;1.22e-15;554.40;9.600;16.300;NAN;NAN;0.38;NAN;6.543;6.543;-0.074;3.699;3.103;NAN;pksmb,palfa,fast_gpps;NAN;
2351;B1853+01;J1856+0113;NAN;NAN;NAN;49780.00;34.560;-0.497;284.04438151;1.22257591;0.267440;2.08e-13;96.10;2.900;6.800;0.00;3.40;0.19;NAN;3.300;2.808;-0.029;1.872;5.782;SNR:W44,XRS:PWN[pks02];misc,palfa,pksmb;HE[lsg+15];
2352;J1856+0211g;J1856+0211g;NAN;NAN;NAN;59607.00;35.511;-0.238;284.24758333;2.18636111;9.890092;7.80e-16;127.40;1.100;NAN;NAN;NAN;0.03;NAN;3.338;3.338;-0.014;1.939;5.783;NAN;fast_gpps;NAN;
2353;J1856+0243g;J1856+0243g;NAN;NAN;NAN;NAN;35.871;0.221;284.00416667;2.71666667;0.546600;NAN;181.40;7.900;23.700;NAN;NAN;0.12;NAN;3.991;3.991;0.015;2.339;5.266;NAN;fast_gpps;NAN;
2354;J1856+0245;J1856+0245;NAN;NAN;NAN;54930.00;36.008;0.057;284.21208333;2.76305556;0.080907;6.21e-14;623.50;82.000;NAN;NAN;NAN;0.58;NAN;6.318;6.318;0.006;3.714;3.389;GRS:HESS_J1857+026,XRS:AX_J185651+0245;palfa,fast_gpps;NAN;
2355;J1856+0404;J1856+0404;NAN;NAN;NAN;51664.00;37.128;0.745;284.11083333;4.07388889;0.420252;3.71e-17;344.50;14.500;35.400;0.02;NAN;0.48;NAN;6.252;6.252;0.081;3.773;3.516;NAN;pksmb,palfa,fast_gpps;NAN;
2356;J1856+0528g;J1856+0528g;NAN;NAN;NAN;NAN;38.361;1.394;284.09583333;5.46666667;NAN;NAN;307.00;NAN;NAN;NAN;NAN;NAN;NAN;9.031;9.031;0.220;5.603;1.421;NAN;fast_gpps;RRAT[zhx+23];
2357;J1856+0615g;J1856+0615g;NAN;NAN;NAN;NAN;39.088;1.692;284.16250000;6.25000000;0.326970;NAN;335.70;7.400;13.900;NAN;NAN;0.04;NAN;11.620;11.620;0.343;7.323;-0.515;NAN;fast_gpps;NAN;
2358;J1856+0912;J1856+0912;NAN;NAN;NAN;58135.00;41.715;3.058;284.13916667;9.20825000;2.170701;2.63e-15;192.60;6.900;9.300;NAN;NAN;0.04;NAN;9.732;9.732;0.519;6.467;1.246;NAN;palfa,fast_gpps;NAN;
2359;J1856-0526;J1856-0526;NAN;NAN;NAN;53095.00;28.636;-3.575;284.09157083;-5.44911111;0.370483;1.70e-15;131.80;30.000;40.000;NAN;NAN;0.40;NAN;4.034;4.034;-0.252;1.930;4.966;NAN;pksmb,gbncc,htru_pks;NAN;
2360;J1856-3754;J1856-3754;325.900;-59.220;8.200;52830.00;358.599;-17.215;284.14754167;-37.90994444;7.055203;2.98e-14;NAN;NAN;NAN;NAN;NAN;NAN;NAN;0.160;NAN;-0.047;-0.004;8.347;XRS:RX_J1856.5-3754,OPT:[kkvh11];misc;XINS,NRAD;
2361;B1854+00;J1857+0057;NAN;NAN;NAN;49694.00;34.417;-0.805;284.25336677;0.95465933;0.356929;5.46e-17;82.30;25.100;35.800;NAN;5.00;0.92;NAN;2.510;2.510;-0.035;1.419;6.430;NAN;misc,ar4,gbncc,palfa,pksmb,fast_gpp;NAN;
2362;J1857+0143;J1857+0143;NAN;NAN;NAN;52632.00;35.168;-0.571;284.38753333;1.72972222;0.139760;3.12e-14;249.40;17.000;43.420;0.05;NAN;0.74;NAN;4.569;4.569;-0.045;2.632;4.765;NAN;pksmb,palfa;HE[lsg+15];
2363;J1857+0210;J1857+0210;NAN;NAN;NAN;51721.00;35.586;-0.393;284.42041667;2.18277778;0.630983;1.40e-14;783.00;9.700;25.200;0.03;NAN;0.30;NAN;7.259;7.259;-0.050;4.224;2.597;NAN;pksmb,palfa,fast_gpps;NAN;
2364;B1855+02;J1857+0212;NAN;NAN;NAN;49554.00;35.617;-0.390;284.43184331;2.21142021;0.415823;4.03e-14;506.70;11.500;18.800;0.00;NAN;1.60;NAN;8.000;5.938;-0.054;4.659;1.997;NAN;jb2,palfa,pksmb,fast_gpps;NAN;
2365;J1857+0214g;J1857+0214g;NAN;NAN;NAN;59427.00;35.577;-0.241;284.28085833;2.24366667;0.333918;1.61e-15;982.00;NAN;NAN;NAN;NAN;0.06;NAN;7.758;7.758;-0.033;4.514;2.190;NAN;fast_gpps;NAN;
2366;J1857+0224g;J1857+0224g;NAN;NAN;NAN;59410.00;35.733;-0.176;284.29460833;2.41200000;0.875874;6.15e-17;399.00;14.900;NAN;NAN;NAN;0.04;NAN;5.299;5.299;-0.016;3.095;4.199;NAN;fast_gpps;NAN;
2367;J1857+0229g;J1857+0229g;NAN;NAN;NAN;NAN;35.812;-0.175;284.32916667;2.48333333;0.584000;NAN;574.00;NAN;NAN;NAN;NAN;NAN;NAN;6.071;6.071;-0.019;3.552;3.577;NAN;fast_gpps;RRAT[zhx+23];
2368;J1857+0300;J1857+0300;NAN;NAN;NAN;56700.00;36.274;0.072;284.32045833;3.00722222;0.772678;2.65e-15;691.00;7.300;NAN;NAN;NAN;0.05;NAN;6.665;6.665;0.008;3.943;3.127;NAN;palfa,fast_gpps;NAN;
2369;J1857+0526;J1857+0526;NAN;NAN;NAN;51800.00;38.438;1.187;284.31606667;5.44130556;0.349951;6.93e-15;466.40;10.100;29.300;0.01;NAN;0.66;NAN;12.257;12.257;0.254;7.618;-1.099;NAN;pksmb,palfa,fast_gpps;NAN;
2370;J1857+0809;J1857+0809;NAN;NAN;NAN;51991.00;40.839;2.446;284.28879167;8.15119444;0.502924;4.74e-15;281.60;10.000;17.500;NAN;NAN;0.14;NAN;13.101;13.101;0.559;8.559;-1.402;NAN;pksmb,fast_gpps;NAN;
2371;J1857-1027;J1857-1027;NAN;NAN;NAN;51650.00;24.275;-6.063;284.36020833;-10.45027778;3.687219;1.05e-14;108.90;117.000;258.000;NAN;NAN;2.03;NAN;4.046;4.046;-0.427;1.654;4.832;NAN;pkssw,gbncc,htru_pks;NAN;
2372;J1858+0026g;J1858+0026g;NAN;NAN;NAN;NAN;34.075;-1.281;284.52083333;0.43333333;4.714670;NAN;415.30;NAN;NAN;NAN;NAN;0.04;NAN;6.851;6.851;-0.153;3.838;2.827;NAN;fast_gpps;NAN;
2373;J1858+0215;J1858+0215;NAN;NAN;NAN;51720.00;35.725;-0.493;284.57262500;2.26055556;0.745828;4.61e-15;702.00;16.800;40.700;0.08;NAN;0.22;NAN;7.228;7.228;-0.062;4.220;2.632;NAN;pksmb,palfa,fast_gpps;NAN;
2374;J1858+0239;J1858+0239;NAN;NAN;NAN;56441.00;36.085;-0.310;284.57500000;2.66444444;0.197644;1.40e-14;492.70;20.700;31.600;NAN;NAN;0.14;NAN;5.859;5.859;-0.032;3.451;3.765;NAN;palfa,fast_gpps;NAN;
2375;J1858+0241;J1858+0241;NAN;NAN;NAN;59425.00;36.179;-0.430;284.72420833;2.69375000;4.693233;2.43e-14;324.00;6.000;8.300;NAN;NAN;0.10;NAN;5.077;5.077;-0.038;2.997;4.402;NAN;pksmb,fast_gpps;NAN;
2376;J1858+0244g;J1858+0244g;NAN;NAN;NAN;NAN;36.114;-0.216;284.50416667;2.73333333;0.002610;NAN;282.60;NAN;NAN;NAN;NAN;0.07;NAN;4.724;4.724;-0.018;2.784;4.684;NAN;fast_gpps;NAN;
2377;J1858+0310g;J1858+0310g;NAN;NAN;NAN;NAN;36.507;-0.033;284.52083333;3.16666667;0.372750;NAN;703.40;124.000;NAN;NAN;NAN;0.12;NAN;6.716;6.716;-0.004;3.996;3.102;NAN;fast_gpps;NAN;
2378;J1858+0319;J1858+0319;NAN;NAN;NAN;56700.00;36.714;-0.094;284.67033333;3.32263889;0.867444;1.03e-16;284.00;4.200;NAN;NAN;NAN;0.06;NAN;4.778;4.778;-0.008;2.856;4.670;NAN;palfa,fast_gpps;NAN;
