PSRJ,RAJD,RAJD_err,DECJD,DECJD_err,PMRA,PMRA_err,PMDEC,PMDEC_err,PX,PX_err,POSEPOCH,REFERENCE FOR PROPER MOTION,CLASS,ANALYSIS_TYPE,P0,P0_err,P1,P1_err,DM,DM_err,DIST,DIST_DM,BSURF,ASSOC
,[deg],[deg],[deg],[deg],[mas/yr],[mas/yr],[mas/yr],[mas/yr],[mas],[mas],[MJD],(only if different from the ATNF),,,[s],[s],[s/s],[s/s],[cm^-3pc],[cm^-3pc],[kpc],[kpc],[G],
J1751-2857,267.88622165,7.1E-08,-28.9629222,8.3E-07,-7.4,0.1,-4,1,NAN,0,55000,Perera+ 2019,PSR,,0.003914873259435,3E-15,1.121E-20,3E-23,42.84,0.03,1.09,1.089,212000000,NAN
J1751-4657,267.925817,8.3E-06,-46.957369,1.4E-05,-13,5,-59,7,NAN,0,57600,,PSR,,0.7423536034383,6E-13,1.29787E-15,6E-20,20.4,0.4,0.74,0.739,993000000000,NAN
J1752-2806,268.24454,7.1E-06,-28.11036,8.3E-05,-4,6,-5,5,NAN,0,46483,,PSR,,0.56255763553,3E-11,8.12913E-15,1E-19,50.372,0.008,0.2,1.335,2160000000000,NAN
J1754+5201,268.595445,4.2E-07,52.0200678,2.8E-07,-3.95,0.05,1.11,0.07,0.16,0.03,49666,,PSR,,2.39139679486,3E-11,1.5641E-15,3E-19,35.0096,0.0064,6.25,4.173,1960000000000,NAN
J1756-2251,269.19430755,6.2E-08,-22.866486,5.6E-06,-2.42,0.08,0,20,1.05,0.55,53563,,PSR,,0.028461589025998,5E-16,1.017502E-18,3E-24,121.196,0.005,0.73,2.807,5450000000,NAN
J1801-1417,270.46280555,7.9E-08,-14.2929239,5.6E-07,-10.89,0.12,-3,1,NAN,0,55000,,PSR,,0.003625096717167,1.7E-15,5.3E-21,3E-23,57.26,0.04,1.1,1.105,140000000,NAN
J1801-2451,270.25007,3.3E-05,-24.85764,5.6E-05,-11,9,-1,15,NAN,0,53348,,PSR,,0.124924206569,8E-12,1.279057E-13,5E-19,291.55,0.05,3.8,3.803,4040000000000,SNR:G5.4-1.2[fk91]
J1801-3210,270.3578733,8.3E-07,-32.181587,4.7E-06,-8,2,-11,10,NAN,0,55001.9,,PSR,,0.007453584373467,3E-15,-4.4E-23,3.9E-23,177.713,0.004,6.11,6.111,NAN,NAN
J1802-2124,270.52223157,3.7E-08,-21.4010136,8.3E-07,-1.1,0.1,-4,4,1.2,0.7,53453,Perera+ 2019,PSR,,0.012647593586523,4E-16,7.256E-20,3E-23,149.6258,0.0006,0.76,3.026,969000000,NAN
J1803-2137,270.96421,4.2E-06,-21.618709,2.8E-06,11.6,1.8,14.8,2.3,NAN,0,51544,,PSR,,0.13366692025028,1.7E-13,1.34359375E-13,1.7E-20,233.99,0.05,4.4,3.422,4290000000000,SNR:G8.7-0.1(?)[kw90]
